id_venda,data,regiao,categoria,produto,quantidade,preco_unitario,faturamento,custo,margem,canal,pagamento
67,2024-12-24,Nordeste,Bebidas,Cha Gelado,10,6.45,64.5,46.68,17.82,Delivery,Cartao
68,2024-06-08,Norte,Alimentos,Macarrao,10,5.49,54.9,42.36,12.54,Loja Fisica,Pix
69,2024-02-08,Sudeste,Limpeza,Sabao em Po,2,17.48,34.96,22.39,12.57,Delivery,Dinheiro
70,2024-10-16,Sudeste,Bebidas,Energetico,11,9.84,108.24,73.73,34.51,Loja Fisica,Dinheiro
71,2024-09-07,Norte,Utilidades,Pano Multiuso,12,6.37,76.44,47.03,29.41,Loja Fisica,Pix
72,2024-11-11,Sul,Higiene,Desodorante,8,11.58,92.64,67.28,25.36,Loja Fisica,Dinheiro
73,2024-02-14,Nordeste,Bebidas,Energetico,10,10.32,103.2,67.68,35.52,Loja Fisica,Dinheiro
74,2024-04-03,Sudeste,Bebidas,Agua,6,2.44,14.64,10.24,4.4,E-commerce,Pix
75,2024-09-21,Sul,Alimentos,Acucar,8,4.95,39.6,24.87,14.73,Loja Fisica,Pix
76,2024-08-17,Sudeste,Alimentos,Feijao,7,9.0,63.0,40.4,22.6,Loja Fisica,Pix
77,2024-09-28,Centro-Oeste,Utilidades,Filtro de Cafe,6,5.05,30.3,20.32,9.98,Loja Fisica,Cartao
78,2024-04-08,Nordeste,Limpeza,Sabao em Po,4,15.89,63.56,43.02,20.54,Delivery,Boleto
79,2024-09-25,Sudeste,Utilidades,Lampada,5,9.17,45.85,28.24,17.61,Loja Fisica,Pix
80,2024-05-20,Norte,Alimentos,Macarrao,12,5.77,69.24,48.99,20.25,Delivery,Cartao
81,2024-01-07,Sudeste,Bebidas,Energetico,6,9.47,56.82,33.54,23.28,E-commerce,Pix
82,2024-02-03,Centro-Oeste,Alimentos,Arroz,3,23.65,70.95,49.14,21.81,Loja Fisica,Boleto
83,2024-03-01,Sudeste,Bebidas,Cha Gelado,10,5.6,56.0,38.33,17.67,Loja Fisica,Cartao
84,2024-10-28,Sul,Bebidas,Cha Gelado,1,6.04,6.04,4.4,1.64,E-commerce,Cartao
85,2024-04-18,Nordeste,Alimentos,Feijao,3,8.76,26.28,16.07,10.21,Loja Fisica,Pix
86,2024-08-28,Nordeste,Alimentos,Macarrao,12,5.68,68.16,40.5,27.66,Loja Fisica,Cartao
87,2024-11-16,Sudeste,Limpeza,Sabao em Po,7,15.56,108.92,68.07,40.85,Loja Fisica,Cartao
88,2024-03-13,Norte,Alimentos,Macarrao,10,5.56,55.6,38.58,17.02,Loja Fisica,Cartao
89,2024-12-18,Nordeste,Bebidas,Agua,9,2.57,23.13,15.44,7.69,Loja Fisica,Dinheiro
90,2024-06-14,Sudeste,Alimentos,Feijao,11,9.24,101.64,70.64,31.0,E-commerce,Boleto
91,2024-12-10,Sul,Higiene,Shampoo,8,15.25,122.0,81.55,40.45,Loja Fisica,Boleto
92,2024-08-11,Sudeste,Bebidas,Refrigerante,8,7.42,59.36,38.39,20.97,Delivery,Dinheiro
93,2024-06-17,Centro-Oeste,Bebidas,Energetico,9,9.18,82.62,49.37,33.25,Loja Fisica,Cartao
94,2024-07-25,Sul,Limpeza,Detergente,11,2.95,32.45,21.82,10.63,Loja Fisica,Pix
95,2024-11-14,Sudeste,Higiene,Sabonete,4,2.82,11.28,6.84,4.44,Loja Fisica,Dinheiro
96,2024-09-05,Nordeste,Utilidades,Filtro de Cafe,4,5.42,21.68,13.92,7.76,Loja Fisica,Cartao
97,2024-04-25,Sul,Utilidades,Pano Multiuso,2,7.03,14.06,8.59,5.47,E-commerce,Cartao
98,2024-12-27,Nordeste,Limpeza,Agua Sanitaria,4,5.46,21.84,13.3,8.54,Loja Fisica,Pix
99,2024-03-10,Sul,Alimentos,Acucar,6,5.31,31.86,21.71,10.15,Delivery,Cartao
100,2024-06-01,Sul,Higiene,Desodorante,3,11.61,34.83,23.58,11.25,Loja Fisica,Dinheiro
101,2024-07-12,Centro-Oeste,Bebidas,Suco,12,6.68,80.16,52.63,27.53,E-commerce,Cartao
102,2024-06-11,Sudeste,Limpeza,Agua Sanitaria,7,6.04,42.28,31.22,11.06,Delivery,Cartao
103,2024-01-19,Nordeste,Utilidades,Saco de Lixo,2,9.2,18.4,12.29,6.11,Loja Fisica,Cartao
104,2024-03-14,Centro-Oeste,Higiene,Shampoo,2,15.11,30.22,23.39,6.83,Loja Fisica,Pix
105,2024-11-28,Norte,Bebidas,Cha Gelado,7,6.44,45.08,31.8,13.28,E-commerce,Pix
106,2024-10-04,Norte,Alimentos,Macarrao,4,5.56,22.24,14.83,7.41,Loja Fisica,Pix
107,2024-02-21,Centro-Oeste,Higiene,Sabonete,1,2.86,2.86,1.69,1.17,Loja Fisica,Cartao
108,2024-05-05,Sudeste,Higiene,Shampoo,3,14.23,42.69,29.96,12.73,Loja Fisica,Pix
109,2024-09-11,Sul,Alimentos,Acucar,11,4.66,51.26,32.35,18.91,Loja Fisica,Dinheiro
110,2024-05-27,Sudeste,Alimentos,Acucar,6,5.36,32.16,20.58,11.58,E-commerce,Pix
111,2024-08-21,Sul,Alimentos,Acucar,8,4.52,36.16,23.73,12.43,Loja Fisica,Cartao
112,2024-12-24,Nordeste,Utilidades,Pano Multiuso,5,6.17,30.85,23.23,7.62,Delivery,Boleto
113,2024-11-06,Sudeste,Limpeza,Desinfetante,4,9.27,37.08,24.12,12.96,Delivery,Pix
114,2024-12-13,Sudeste,Limpeza,Sabao em Po,11,15.5,170.5,120.29,50.21,Loja Fisica,Dinheiro
115,2024-01-18,Sudeste,Limpeza,Detergente,5,2.66,13.3,8.82,4.48,Loja Fisica,Dinheiro
116,2024-07-06,Sudeste,Utilidades,Lampada,5,10.48,52.4,40.29,12.11,E-commerce,Cartao
117,2024-06-22,Sul,Bebidas,Refrigerante,3,8.03,24.09,15.06,9.03,Delivery,Pix
118,2024-07-22,Sul,Limpeza,Desinfetante,2,9.6,19.2,11.19,8.01,Loja Fisica,Cartao
119,2024-12-10,Sudeste,Alimentos,Acucar,11,5.32,58.52,35.21,23.31,Loja Fisica,Cartao
120,2024-10-14,Centro-Oeste,Higiene,Sabonete,11,3.15,34.65,26.4,8.25,Loja Fisica,Cartao
121,2024-03-12,Norte,Alimentos,Acucar,2,4.51,9.02,6.83,2.19,Loja Fisica,Cartao
122,2024-12-09,Sul,Higiene,Papel Higienico,7,19.61,137.27,99.56,37.71,E-commerce,Pix
123,2024-09-07,Sudeste,Utilidades,Saco de Lixo,1,8.89,8.89,5.54,3.35,Loja Fisica,Cartao
124,2024-07-04,Norte,Higiene,Papel Higienico,11,18.74,206.14,135.98,70.16,Loja Fisica,Cartao
125,2024-08-20,Norte,Alimentos,Cafe,1,16.65,16.65,10.77,5.88,E-commerce,Dinheiro
126,2024-04-15,Norte,Limpeza,Sabao em Po,10,15.89,158.9,119.8,39.1,Loja Fisica,Cartao
127,2024-11-01,Norte,Limpeza,Sabao em Po,3,16.96,50.88,37.64,13.24,Loja Fisica,Dinheiro
128,2024-03-08,Norte,Limpeza,Sabao em Po,10,16.25,162.5,99.91,62.59,Loja Fisica,Dinheiro
129,2024-09-26,Norte,Alimentos,Acucar,6,4.91,29.46,17.73,11.73,Loja Fisica,Boleto
130,2024-01-23,Sudeste,Utilidades,Filtro de Cafe,5,5.16,25.8,19.94,5.86,Loja Fisica,Pix
131,2024-07-24,Centro-Oeste,Alimentos,Acucar,2,5.28,10.56,6.81,3.75,Loja Fisica,Cartao
132,2024-11-15,Sudeste,Higiene,Creme Dental,7,6.94,48.58,33.33,15.25,Loja Fisica,Pix
133,2024-02-20,Sudeste,Alimentos,Cafe,12,19.57,234.84,156.41,78.43,E-commerce,Cartao
134,2024-08-20,Centro-Oeste,Limpeza,Desinfetante,7,8.74,61.18,38.6,22.58,E-commerce,Pix
135,2024-08-30,Norte,Limpeza,Detergente,7,2.54,17.78,12.94,4.84,Delivery,Pix
136,2024-10-27,Sul,Higiene,Sabonete,7,2.87,20.09,14.33,5.76,Delivery,Dinheiro
137,2024-01-27,Sul,Higiene,Creme Dental,2,6.42,12.84,7.99,4.85,Delivery,Cartao
138,2024-02-25,Centro-Oeste,Higiene,Sabonete,5,3.0,15.0,11.12,3.88,E-commerce,Boleto
139,2024-11-14,Sudeste,Higiene,Sabonete,10,3.21,32.1,23.94,8.16,Loja Fisica,Cartao
140,2024-12-25,Sudeste,Utilidades,Saco de Lixo,1,8.03,8.03,4.89,3.14,Delivery,Cartao
141,2024-11-20,Sul,Alimentos,Cafe,4,17.81,71.24,47.78,23.46,Loja Fisica,Cartao
142,2024-06-15,Sudeste,Higiene,Sabonete,1,2.76,2.76,2.02,0.74,Loja Fisica,Cartao
143,2024-08-14,Sudeste,Bebidas,Energetico,7,9.65,67.55,49.38,18.17,Loja Fisica,Cartao
144,2024-05-25,Sudeste,Higiene,Papel Higienico,11,18.55,204.05,127.35,76.7,E-commerce,Cartao
145,2024-04-14,Nordeste,Alimentos,Feijao,5,8.31,41.55,25.1,16.45,Loja Fisica,Cartao
146,2024-03-07,Centro-Oeste,Limpeza,Esponja,9,2.39,21.51,15.94,5.57,Loja Fisica,Dinheiro
147,2024-01-22,Centro-Oeste,Bebidas,Refrigerante,6,7.76,46.56,32.34,14.22,Delivery,Cartao
148,2024-02-28,Centro-Oeste,Utilidades,Lampada,10,9.61,96.1,68.99,27.11,Loja Fisica,Cartao
149,2024-02-24,Nordeste,Higiene,Papel Higienico,2,18.88,37.76,24.24,13.52,Loja Fisica,Cartao
150,2024-03-27,Norte,Higiene,Papel Higienico,9,18.12,163.08,119.9,43.18,Loja Fisica,Boleto
151,2024-11-26,Sul,Alimentos,Feijao,5,8.16,40.8,28.58,12.22,Delivery,Pix
152,2024-03-31,Sul,Higiene,Desodorante,10,12.33,123.3,82.58,40.72,E-commerce,Pix
153,2024-11-21,Sul,Bebidas,Agua,3,2.52,7.56,5.09,2.47,Delivery,Dinheiro
154,2024-10-29,Norte,Bebidas,Agua,8,2.53,20.24,11.97,8.27,Delivery,Cartao
155,2024-02-16,Sudeste,Bebidas,Energetico,10,10.21,102.1,75.39,26.71,E-commerce,Cartao
156,2024-10-19,Sudeste,Bebidas,Energetico,9,9.41,84.69,50.17,34.52,Loja Fisica,Dinheiro
157,2024-06-24,Sul,Alimentos,Feijao,1,8.24,8.24,5.5,2.74,Loja Fisica,Pix
158,2024-03-22,Centro-Oeste,Utilidades,Pano Multiuso,7,7.2,50.4,36.08,14.32,Loja Fisica,Pix
159,2024-06-20,Norte,Alimentos,Acucar,5,4.66,23.3,17.48,5.82,E-commerce,Pix
160,2024-03-17,Centro-Oeste,Higiene,Shampoo,6,14.63,87.78,62.43,25.35,Delivery,Cartao
161,2024-12-28,Sul,Bebidas,Energetico,11,10.68,117.48,87.24,30.24,Delivery,Dinheiro
162,2024-12-16,Sul,Alimentos,Acucar,9,4.76,42.84,27.95,14.89,Loja Fisica,Cartao
163,2024-09-05,Nordeste,Utilidades,Lampada,2,9.3,18.6,13.72,4.88,Loja Fisica,Pix
164,2024-09-26,Norte,Bebidas,Cha Gelado,3,6.03,18.09,11.05,7.04,Loja Fisica,Pix
165,2024-11-15,Sul,Alimentos,Acucar,1,4.81,4.81,3.44,1.37,Loja Fisica,Cartao
166,2024-05-25,Sudeste,Limpeza,Sabao em Po,9,15.97,143.73,111.12,32.61,Delivery,Dinheiro
167,2024-04-09,Centro-Oeste,Utilidades,Pano Multiuso,8,7.2,57.6,42.37,15.23,Loja Fisica,Cartao
168,2024-03-23,Sul,Limpeza,Sabao em Po,5,15.35,76.75,51.89,24.86,Loja Fisica,Boleto
169,2024-12-30,Sul,Limpeza,Desinfetante,2,9.55,19.1,12.12,6.98,E-commerce,Cartao
170,2024-08-11,Norte,Utilidades,Pano Multiuso,6,7.41,44.46,29.48,14.98,Loja Fisica,Cartao
171,2024-07-16,Sul,Bebidas,Refrigerante,6,8.3,49.8,37.24,12.56,Delivery,Dinheiro
172,2024-03-11,Norte,Utilidades,Pano Multiuso,12,7.28,87.36,63.93,23.43,Loja Fisica,Pix
173,2024-02-10,Norte,Alimentos,Feijao,9,9.42,84.78,59.5,25.28,Loja Fisica,Dinheiro
174,2024-05-01,Nordeste,Alimentos,Acucar,11,5.18,56.98,38.26,18.72,Loja Fisica,Dinheiro
175,2024-11-01,Sudeste,Higiene,Papel Higienico,4,20.1,80.4,51.32,29.08,Loja Fisica,Cartao
176,2024-10-19,Centro-Oeste,Higiene,Sabonete,9,3.23,29.07,17.25,11.82,Loja Fisica,Pix
177,2024-09-16,Sudeste,Bebidas,Energetico,1,10.37,10.37,8.05,2.32,Loja Fisica,Cartao
178,2024-02-04,Centro-Oeste,Limpeza,Detergente,10,2.88,28.8,18.62,10.18,Loja Fisica,Pix
179,2024-11-25,Nordeste,Limpeza,Agua Sanitaria,12,5.48,65.76,40.54,25.22,Loja Fisica,Pix
180,2024-08-22,Norte,Alimentos,Feijao,1,8.36,8.36,5.37,2.99,Loja Fisica,Dinheiro
181,2024-08-30,Nordeste,Limpeza,Sabao em Po,5,16.36,81.8,60.22,21.58,E-commerce,Cartao
182,2024-03-04,Sudeste,Bebidas,Energetico,12,9.98,119.76,92.37,27.39,Loja Fisica,Cartao
183,2024-12-20,Sudeste,Utilidades,Filtro de Cafe,5,5.51,27.55,19.99,7.56,Loja Fisica,Pix
184,2024-04-02,Sudeste,Bebidas,Refrigerante,6,7.89,47.34,30.36,16.98,Loja Fisica,Cartao
185,2024-12-19,Centro-Oeste,Bebidas,Agua,10,2.8,28.0,17.78,10.22,E-commerce,Boleto
186,2024-02-08,Sudeste,Bebidas,Cha Gelado,12,6.12,73.44,56.59,16.85,Loja Fisica,Pix
187,2024-08-12,Norte,Alimentos,Macarrao,6,5.18,31.08,21.55,9.53,Loja Fisica,Pix
188,2024-07-08,Centro-Oeste,Limpeza,Esponja,3,2.26,6.78,4.47,2.31,Delivery,Cartao
189,2024-02-28,Norte,Alimentos,Cafe,7,19.74,138.18,83.4,54.78,Delivery,Pix
190,2024-04-19,Sul,Alimentos,Acucar,4,4.53,18.12,13.6,4.52,Loja Fisica,Dinheiro
191,2024-08-15,Sul,Limpeza,Desinfetante,11,8.81,96.91,57.47,39.44,Loja Fisica,Dinheiro
192,2024-03-21,Sudeste,Utilidades,Lampada,6,9.71,58.26,35.2,23.06,Loja Fisica,Cartao
193,2024-09-09,Norte,Higiene,Creme Dental,8,6.7,53.6,37.0,16.6,Loja Fisica,Cartao
194,2024-06-07,Centro-Oeste,Limpeza,Agua Sanitaria,9,5.41,48.69,32.23,16.46,Loja Fisica,Cartao
195,2024-06-11,Sudeste,Bebidas,Cha Gelado,6,5.48,32.88,24.52,8.36,Loja Fisica,Pix
196,2024-03-07,Centro-Oeste,Utilidades,Pilhas,2,13.2,26.4,16.92,9.48,Loja Fisica,Boleto
197,2024-04-25,Centro-Oeste,Utilidades,Saco de Lixo,2,8.15,16.3,11.52,4.78,Loja Fisica,Cartao
198,2024-06-04,Sudeste,Alimentos,Feijao,10,9.42,94.2,57.54,36.66,Delivery,Pix
199,2024-11-05,Centro-Oeste,Utilidades,Pilhas,1,12.08,12.08,9.3,2.78,Delivery,Cartao
200,2024-04-17,Sudeste,Bebidas,Refrigerante,8,8.23,65.84,45.37,20.47,Delivery,Cartao
201,2024-05-05,Sul,Higiene,Creme Dental,8,5.79,46.32,27.42,18.9,Loja Fisica,Pix
202,2024-04-14,Centro-Oeste,Alimentos,Macarrao,12,5.81,69.72,45.25,24.47,Loja Fisica,Dinheiro
203,2024-09-20,Sudeste,Bebidas,Energetico,2,9.64,19.28,12.14,7.14,Loja Fisica,Cartao
204,2024-07-15,Sul,Bebidas,Suco,6,7.64,45.84,33.2,12.64,Loja Fisica,Cartao
205,2024-09-20,Sudeste,Limpeza,Agua Sanitaria,1,5.07,5.07,3.34,1.73,Loja Fisica,Cartao
206,2024-10-25,Centro-Oeste,Alimentos,Acucar,10,5.26,52.6,37.39,15.21,Loja Fisica,Pix
207,2024-02-25,Centro-Oeste,Utilidades,Saco de Lixo,7,8.34,58.38,38.54,19.84,Loja Fisica,Cartao
208,2024-10-10,Nordeste,Bebidas,Energetico,9,9.66,86.94,67.62,19.32,Delivery,Cartao
209,2024-02-19,Centro-Oeste,Limpeza,Desinfetante,9,9.86,88.74,64.87,23.87,Loja Fisica,Pix
210,2024-09-13,Norte,Alimentos,Macarrao,8,5.32,42.56,25.95,16.61,E-commerce,Cartao
211,2024-11-09,Nordeste,Bebidas,Cha Gelado,12,6.31,75.72,52.91,22.81,Loja Fisica,Pix
212,2024-09-07,Sudeste,Alimentos,Arroz,6,24.56,147.36,88.7,58.66,Loja Fisica,Cartao
213,2024-12-18,Sudeste,Higiene,Creme Dental,11,6.67,73.37,53.94,19.43,Loja Fisica,Pix
214,2024-10-25,Sudeste,Higiene,Papel Higienico,7,17.95,125.65,89.98,35.67,Loja Fisica,Boleto
215,2024-02-26,Nordeste,Bebidas,Energetico,3,9.93,29.79,18.49,11.3,Loja Fisica,Pix
216,2024-08-29,Sul,Limpeza,Detergente,12,2.56,30.72,19.09,11.63,Loja Fisica,Pix
217,2024-09-26,Centro-Oeste,Utilidades,Pano Multiuso,9,6.62,59.58,38.78,20.8,Delivery,Pix
218,2024-11-25,Sul,Alimentos,Acucar,4,5.34,21.36,13.58,7.78,Loja Fisica,Boleto
219,2024-06-01,Sudeste,Limpeza,Agua Sanitaria,6,5.49,32.94,22.8,10.14,E-commerce,Pix
220,2024-05-27,Nordeste,Higiene,Desodorante,7,12.46,87.22,67.24,19.98,Delivery,Cartao
221,2024-05-27,Sul,Alimentos,Acucar,11,4.66,51.26,34.64,16.62,Loja Fisica,Pix
222,2024-10-14,Sudeste,Alimentos,Cafe,12,18.57,222.84,140.05,82.79,Delivery,Pix
223,2024-11-22,Nordeste,Alimentos,Macarrao,12,5.28,63.36,45.38,17.98,Loja Fisica,Boleto
224,2024-03-21,Centro-Oeste,Utilidades,Pano Multiuso,8,7.04,56.32,41.18,15.14,Loja Fisica,Cartao
225,2024-01-31,Sul,Alimentos,Cafe,4,18.38,73.52,53.27,20.25,E-commerce,Dinheiro
226,2024-03-30,Centro-Oeste,Limpeza,Detergente,7,2.91,20.37,12.57,7.8,Delivery,Dinheiro
227,2024-05-28,Sul,Alimentos,Cafe,10,16.85,168.5,130.86,37.64,Loja Fisica,Boleto
228,2024-10-05,Sudeste,Utilidades,Lampada,9,9.63,86.67,53.61,33.06,Loja Fisica,Cartao
229,2024-08-22,Sudeste,Limpeza,Detergente,12,2.67,32.04,20.47,11.57,Delivery,Cartao
230,2024-11-08,Sul,Utilidades,Pano Multiuso,9,6.6,59.4,39.21,20.19,Loja Fisica,Boleto
231,2024-09-01,Centro-Oeste,Alimentos,Macarrao,7,5.03,35.21,25.73,9.48,E-commerce,Cartao
232,2024-10-20,Norte,Higiene,Shampoo,1,15.7,15.7,10.57,5.13,Loja Fisica,Pix
233,2024-12-26,Sudeste,Higiene,Creme Dental,6,6.47,38.82,24.22,14.6,Loja Fisica,Cartao
234,2024-11-06,Centro-Oeste,Limpeza,Agua Sanitaria,9,5.83,52.47,39.1,13.37,Delivery,Pix
235,2024-11-01,Sul,Alimentos,Acucar,9,5.09,45.81,27.29,18.52,Loja Fisica,Cartao
236,2024-10-07,Sul,Alimentos,Cafe,3,17.06,51.18,38.43,12.75,Loja Fisica,Pix
237,2024-10-25,Sudeste,Utilidades,Pano Multiuso,1,6.77,6.77,4.62,2.15,Loja Fisica,Cartao
238,2024-08-24,Sudeste,Bebidas,Refrigerante,7,7.28,50.96,29.59,21.37,Loja Fisica,Cartao
239,2024-08-04,Centro-Oeste,Alimentos,Arroz,2,27.82,55.64,37.52,18.12,Loja Fisica,Cartao
240,2024-03-10,Sudeste,Utilidades,Pano Multiuso,6,7.49,44.94,29.5,15.44,E-commerce,Dinheiro
241,2024-07-11,Norte,Utilidades,Filtro de Cafe,3,5.36,16.08,10.44,5.64,Loja Fisica,Pix
242,2024-09-27,Nordeste,Utilidades,Pilhas,1,14.39,14.39,9.68,4.71,Delivery,Cartao
